project name, version, upstream URL, upstream commit hash base, license, tests (none, partial, full, none-no-std)
adler32-rs, 1.0.4, https://github.com/remram44/adler32-rs, b235700967618065f89f188a0000d67d08451705, zlib, full
anyhow, 1.0.28,https://github.com/dtolnay/anyhow, 022f700a1c67c5cd663c34b8a3c11c6818ec0ecb, MIT/Apache-2.0, partial
cfg-if, 0.1.10, https://github.com/alexcrichton/cfg-if, 4484a6faf816ff8058088ad857b0c6bb2f4b02b2, MIT/Apache-2.0, full
color_quant, master, https://github.com/PistonDevelopers/color_quant, 3a1d0c129301adcc1ad4caa91e19089294721c58, MIT, none
either, 1.5.3, https://github.com/bluss/either, cd15a341118b5af765450dcb6380c6dee17ed0f2, MIT/Apache-2.0, full
getrandom, 0.1.14, https://github.com/rust-random/getrandom, 33b859bae16ae0b1c782e48db2ed96eb2306a2fc, MIT/Apache-2.0, full
integer-encoding-rs, 1.0.7, https://github.com/dermesser/integer-encoding-rs, 336db48685b7db34fb336f355666f8c1c3b23ffb, MIT, full
itertools, 0.9.0, https://github.com/rust-itertools/itertools, b085c523681146151866ead66ae8a4b8967fd005, MIT/Apache-2.0, partial
itoa, 0.4.5, https://github.com/dtolnay/itoa, 0ecba421fa2f278431d1e0ab607d9311ad2c1541, MIT/Apache-2.0, full
lazy-static.rs, 1.4.0, https://github.com/rust-lang-nursery/lazy-static.rs, 421669662b35fcb455f2902daed2e20bbbba79b6, Apache-2.0, none-no-std
libm, 0.2.1, https://github.com/rust-lang/libm, 3d729b7a85daad3b4d54b22e02d00681762bc602, MIT/Apache-2.0, none-no-std
log, 0.4.10, https://github.com/rust-lang/log, 4e196f927d0e87a1bf799e57a9582e7a6003bcd1, MIT/Apache02.0, full
matches, 0.1.8, https://github.com/mesalock-linux/rust-std-candidates-sgx, df2edec638128c35a4cf55aac73314ef2be03bf4, MIT, none-no-std
md5, master, https://github.com/stainless-steel/md5, 3236fc93c26af909923767e65be87e45c47aab89, Apache-2.0/MIT, partial
no-panic, 0.1.12, https://github.com/dtolnay/no-panic, 54b2251659a7e6d9c81622d87a29aeedcf8281ba, MIT/Apache-2.0, none-no-std
num-integer, 0.1.42, https://github.com/rust-num/num-integer, 0f9ba577371cbb89042835f7ae4966b7f12191e4, MIT/Apache-2.0, full
num-traits, 0.2.11, https://github.com/rust-num/num-traits, 93ff6dc382f35d292830515156693f008bc61c6d, MIT/Apache-2.0, full
rust-fnv, 1.0.6, https://github.com/servo/rust-fnv, 2ca7554508beb26d7b3f817008d0e58da367d227, MIT/Apache-2.0, full
rust-hex, 0.4.2, https://github.com/KokaKiwi/rust-hex, be0c32f9c8938ca0359bbb0d1477e31b07cb3358, MIT/Apache-2.0, full
rust-smallvec, 1.2.0, https://github.com/servo/rust-smallvec, 08b82495c01948813b3577780fb96d9957950a9a, MIT/Apache-2.0, partial
rust-threadpool, 1.7.1, https://github.com/rust-threadpool/rust-threadpool, 808fee927d796f5118b14da8dc33720dc0ae6f2b, MIT/Apache-2.0, full
ryu, 1.0.3, https://github.com/dtolnay/ryu, 664db527610d0d9cfccecd38029fc8d2d80bc303, MIT/Apache-2.0, none-no-std
serde, 1.0.106, https://github.com/serde-rs/serde/, d1564525ad5172edeac5a73ebe0680dbe735e63a, Apache-2.0, partial
spin-rs, 0.5.2, https://github.com/mvdnes/spin-rs, 7516c8037d3d15712ba4d8499ab075e97a19d778, MIT, none-no-std
sval, 0.5.1, https://github.com/sval-rs/sval, 85ccf03b78736d910a1ae92c39690640d1cbfef8, Apache-2.0, partial
thiserror, 1.0.14, https://github.com/dtolnay/thiserror, 6fd405929807e73ac4b1bd026192a91f64a08636, MIT/Apache-2.0, partial
thread-id, 3.3.0, https://github.com/ruuda/thread-id, 841dd55b94aef76f2bb199633bb4fe740ecc8be9, MIT/Apache-2, no
